,Title,Publication_Info,Cited_by
0,A guide to machine learning for biologists,"JG Greener, SM Kandathil, L Moffat… - Nature reviews Molecular …, 2022 - nature.com",Cited by 1103
1,Open-environment machine learning,"ZH Zhou - National Science Review, 2022 - academic.oup.com",Cited by 123
2,Machine learning and deep learning: A review of methods and applications,"K Sharifani, M Amini - World Information Technology and …, 2023 - papers.ssrn.com",Cited by 270
3,International conference on machine learning,"W Li, C Wang, G Cheng, Q Song - Transactions on machine learning …, 2023 - par.nsf.gov",Cited by 1568
4,Probabilistic machine learning: an introduction,KP Murphy - 2022 - books.google.com,Cited by 1020
5,Machine learning for microbiologists,"F Asnicar, AM Thomas, A Passerini… - Nature Reviews …, 2024 - nature.com",Cited by 50
6,Agricultural databases evaluation with machine learning procedure,"M Amini, A Rahmani - … Journal of Engineering and Applied Science, 2023 - papers.ssrn.com",Cited by 149
7,Machine learning: the basics,A Jung - 2022 - books.google.com,Cited by 134
8,Probabilistic machine learning: Advanced topics,KP Murphy - 2023 - books.google.com,Cited by 345
9,A review of the application of machine learning in water quality evaluation,"M Zhu, J Wang, X Yang, Y Zhang, L Zhang… - Eco-Environment & …, 2022 - Elsevier",Cited by 291
10,Human-in-the-loop machine learning: a state of the art,"E Mosqueira-Rey, E Hernández-Pereira… - Artificial Intelligence …, 2023 - Springer",Cited by 336
11,"Machine learning operations (mlops): Overview, definition, and architecture","D Kreuzberger, N Kühl, S Hirschl - IEEE access, 2023 - ieeexplore.ieee.org",Cited by 399
12,Scientific machine learning benchmarks,"J Thiyagalingam, M Shankar, G Fox, T Hey - Nature Reviews Physics, 2022 - nature.com",Cited by 102
13,Challenges in deploying machine learning: a survey of case studies,"A Paleyes, RG Urma, ND Lawrence - ACM computing surveys, 2022 - dl.acm.org",Cited by 456
14,"Combustion machine learning: Principles, progress and prospects","M Ihme, WT Chung, AA Mishra - Progress in Energy and Combustion …, 2022 - Elsevier",Cited by 163
15,Machine learning for nanoplasmonics,"JF Masson, JS Biggins, E Ringe - Nature Nanotechnology, 2023 - nature.com",Cited by 42
16,Machine learning in the search for new fundamental physics,"G Karagiorgi, G Kasieczka, S Kravitz… - Nature Reviews …, 2022 - nature.com",Cited by 141
17,Intelligent metaphotonics empowered by machine learning,"S Krasikov, A Tranter, A Bogdanov… - Opto-Electronic …, 2022 - researching.cn",Cited by 134
18,A survey of human-in-the-loop for machine learning,"X Wu, L Xiao, Y Sun, J Zhang, T Ma, L He - Future Generation Computer …, 2022 - Elsevier",Cited by 508
19,"Impact of machine learning on management, healthcare and agriculture","H Pallathadka, M Mustafa, DT Sanchez… - Materials Today …, 2023 - Elsevier",Cited by 188
20,Designing machine learning systems,C Huyen - 2022 - books.google.com,Cited by 172
21,Financial machine learning,"B Kelly, D Xiu - Foundations and Trends® in Finance, 2023 - nowpublishers.com",Cited by 44
22,A systematic review of teaching and learning machine learning in K-12 education,"IT Sanusi, SS Oyelere, H Vartiainen, J Suhonen… - Education and …, 2023 - Springer",Cited by 96
23,A review of molecular representation in the age of machine learning,"DS Wigh, JM Goodman… - Wiley Interdisciplinary …, 2022 - Wiley Online Library",Cited by 193
24,A machine learning tutorial for operational meteorology. Part I: Traditional machine learning,"RJ Chase, DR Harrison, A Burke… - Weather and …, 2022 - journals.ametsoc.org",Cited by 55
25,Machine learning for combustion,"L Zhou, Y Song, W Ji, H Wei - Energy and AI, 2022 - Elsevier",Cited by 141
26,Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"S Raschka, YH Liu, V Mirjalili - 2022 - books.google.com",Cited by 163
27,"Understanding of machine learning with deep learning: architectures, workflow, applications and future directions","MM Taye - Computers, 2023 - mdpi.com",Cited by 315
28,Machine learning in environmental research: common pitfalls and best practices,"JJ Zhu, M Yang, ZJ Ren - Environmental Science & Technology, 2023 - ACS Publications",Cited by 133
29,Small data machine learning in materials science,"P Xu, X Ji, M Li, W Lu - npj Computational Materials, 2023 - nature.com",Cited by 162
30,Pdebench: An extensive benchmark for scientific machine learning,"M Takamoto, T Praditia, R Leiteritz… - Advances in …, 2022 - proceedings.neurips.cc",Cited by 144
31,Fairness in machine learning: A survey,"S Caton, C Haas - ACM Computing Surveys, 2024 - dl.acm.org",Cited by 641
32,"Foundations and Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions","PP Liang, A Zadeh, LP Morency - arXiv preprint arXiv:2209.03430, 2022 - arxiv.org",Cited by 138
33,AI and machine learning for real-world problems,"H Nozari, J Ghahremani-Nahr, A Szmelter-Jarosz - Advances In Computers, 2024 - Elsevier",Cited by 53
34,OMLT: Optimization & machine learning toolkit,"F Ceccon, J Jalving, J Haddad, A Thebelt… - … of Machine Learning …, 2022 - jmlr.org",Cited by 77
35,Underspecification presents challenges for credibility in modern machine learning,"A D'Amour, K Heller, D Moldovan, B Adlam… - … of Machine Learning …, 2022 - jmlr.org",Cited by 748
36,Darts: User-friendly modern machine learning for time series,"J Herzen, F Lässig, SG Piazzetta, T Neuer… - … of Machine Learning …, 2022 - jmlr.org",Cited by 219
37,Future of machine learning in geotechnics,"KK Phoon, W Zhang - … : Assessment and Management of Risk for …, 2023 - Taylor & Francis",Cited by 161
38,Machine learning for a sustainable energy future,"Z Yao, Y Lum, A Johnston, LM Mejia-Mendoza… - Nature Reviews …, 2023 - nature.com",Cited by 156
39,Participation is not a design fix for machine learning,"M Sloane, E Moss, O Awomolo, L Forlano - Proceedings of the 2nd ACM …, 2022 - dl.acm.org",Cited by 209
40,Machine learning in cybersecurity: Techniques and challenges,"J Bharadiya - European Journal of Technology, 2023 - ajpojournals.org",Cited by 95
41,Challenges and opportunities in quantum machine learning,"M Cerezo, G Verdon, HY Huang, L Cincio… - Nature Computational …, 2022 - nature.com",Cited by 340
42,A short review on machine learning,"TK Hua - Authorea Preprints, 2022 - authorea.com",Cited by 77
43,Predictive analysis of heart diseases with machine learning approaches,"TR Ramesh, UK Lilhore, M Poongodi… - Malaysian Journal of …, 2022 - jpmm.um.edu.my",Cited by 407
44,Findings on teaching machine learning in high school: A ten-year systematic literature review,"RM Martins, C Gresse Von Wangenheim - Informatics in Education, 2023 - ceeol.com",Cited by 257
45,Utilizing machine learning and deep learning in cybesecurity: an innovative approach,"K Dushyant, G Muskan, Annu, A Gupta… - Cyber security and …, 2022 - Wiley Online Library",Cited by 132
46,Coronavirus disease (COVID-19) cases analysis using machine-learning applications,"AS Kwekha-Rashid, HN Abduljabbar, B Alhayani - Applied Nanoscience, 2023 - Springer",Cited by 328
47,Roadmap on machine learning in electronic structure,"HJ Kulik, T Hammerschmidt, J Schmidt, S Botti… - Electronic …, 2022 - iopscience.iop.org",Cited by 127
48,Enhancing computational fluid dynamics with machine learning,"R Vinuesa, SL Brunton - Nature Computational Science, 2022 - nature.com",Cited by 334
49,Trustworthy machine learning,KR Vashney - 2022 - trustworthymachinelearning.com,Cited by 85
50,"Machine learning and artificial intelligence in CNC machine tools, a review","M Soori, B Arezoo, R Dastres - Sustainable Manufacturing and Service …, 2023 - Elsevier",Cited by 101
51,Stable learning establishes some common ground between causal inference and machine learning,"P Cui, S Athey - Nature Machine Intelligence, 2022 - nature.com",Cited by 142
52,A review on fairness in machine learning,"D Pessach, E Shmueli - ACM Computing Surveys (CSUR), 2022 - dl.acm.org",Cited by 451
53,Machine learning in materials chemistry: An invitation,"D Packwood, LTH Nguyen, P Cesana, G Zhang… - Machine Learning with …, 2022 - Elsevier",Cited by 40
54,Navigating the pitfalls of applying machine learning in genomics,"S Whalen, J Schreiber, WS Noble… - Nature Reviews Genetics, 2022 - nature.com",Cited by 193
55,"Machine learning in concrete science: applications, challenges, and best practices","Z Li, J Yoon, R Zhang, F Rajabipour… - npj computational …, 2022 - nature.com",Cited by 137
56,Colloquium: Machine learning in nuclear physics,"A Boehnlein, M Diefenthaler, N Sato, M Schram… - Reviews of modern …, 2022 - APS",Cited by 142
57,A Novel Machine Learning Approaches for Issues in Civil Engineering,"F Tahir, L Ghafoor - OSF Preprints. April, 2023 - easychair.org",Cited by 75
58,Machine learning for structural engineering: A state-of-the-art review,"HT Thai - Structures, 2022 - Elsevier",Cited by 363
59,Machine learning and deep learning—A review for ecologists,"M Pichler, F Hartig - Methods in Ecology and Evolution, 2023 - Wiley Online Library",Cited by 128
60,Exploring teachers' preconceptions of teaching machine learning in high school: A preliminary insight from Africa,"IT Sanusi, SS Oyelere, JO Omidiora - Computers and Education Open, 2022 - Elsevier",Cited by 275
61,Machine learning in medical applications: A review of state-of-the-art methods,"M Shehab, L Abualigah, Q Shambour… - Computers in Biology …, 2022 - Elsevier",Cited by 301
