238162;October Three (1997);1997;10
263696;Prikovannyj (2002);2002;10
160079;Innuendo (2004);2004;10
219942;Mother Ignacia - Ang uliran (1998);1998;10
201545;Making Changes (2004);2004;10
107783;Fall of a Saga (2003);2003;10
152590;Human Wreckage (2003);2003;10
148194;Home (2004/II);2004;10
159429;Inexplicable (2004);2004;10
217802;Mond im Skorpion (1997);1997;10
9911;Alarium (2003);2003;10
63870;Cielo della luna, Il (1997);1997;10
64546;Circus Lives (1996);1996;10
107321;Fado majeur et mineur (1995);1995;10
120592;From Swastika to Jim Crow (2000);2000;10
16987;Angles of the Dumps (1998);1998;10
23554;Attic Man (2004);2004;10
124699;Gay by Dawn (2004);2004;10
86430;Dieu Saturne, Le (2004);2004;10
269692;Question to Asclepios, A (2004);2004;10
